"Inspection","Requirement","IsMet","Comment","ResultImage"
"176","19","Fałsz","Zamek",
"176","20","True",,
"176","21","True",,
"176","22","True",,
"176","23","True",,
"176","24","True",,
"177","13","True",,
"177","14","True",,
"177","15","True",,
"177","16","True",,
"177","17","True",,
"177","18","True",,
"178","37","True",,
"178","38","True",,
"178","39","Fałsz","niepożądek",
"178","40","True",,
"178","41","True",,
"178","42","True",,
"179","25","True",,
"179","26","True",,
"179","27","True",,
"179","28","True",,
"179","29","True",,
"179","30","True",,
"180","19","True",,
"180","20","True",,
"180","21","True",,
"180","22","True",,
"180","23","True",,
"180","24","True",,
"181","13","True",,
"181","14","True",,
"181","15","True",,
"181","16","True",,
"181","17","True",,
"181","18","True",,
"182","37","True",,
"182","38","True",,
"182","39","True","Nieporządek",
"182","40","True",,
"182","41","True",,
"182","42","True",,
"183","25","True",,
"183","26","True",,
"183","27","True",,
"183","28","True",,
"183","29","True",,
"183","30","True",,
"184","19","True",,
"184","20","True",,
"184","21","True",,
"184","22","True",,
"184","23","True",,
"184","24","True",,
"185","13","True",,
"185","14","True",,
"185","15","True",,
"185","16","True",,
"185","17","Fałsz","Button error",
"185","18","True",,
